GEOID,lat,lon,housing_score,housing_insecurity_high,nearest_grocery_miles,food_distance_norm,within_half_mile,within_one_mile,LILATracts_1And10,LILATracts_halfAnd10,food_insecurity_high,quadrant,service_gap,nearest_food_bank_miles,nearest_food_bank_name,nearest_wic_miles,nearest_wic_name,nearest_grocery_name,B19013_001E,poverty_rate,pct_hispanic
480291917011,29.5819992,-98.4856635,0.4827586206896552,1,0.5585455264523068,0.0388705880889332,0,1,0.0,0.0,0,High Housing Only,0,6.7520567160805856,Meals on Wheels San Antonio,5.864665302145088,WIC Clinic Rittiman,HEB 164,147222,0.0696721311475409,0.1692789968652037
480291917012,29.5871562,-98.495699,0.119047619047619,0,1.2478015694996558,0.0890070909085179,0,0,0.0,0.0,1,High Food Only,0,7.207011720651674,Meals on Wheels San Antonio,6.513345154122054,WIC Clinic Rittiman,HEB 164,135714,0.0150375939849624,0.2504780114722753
480291918071,29.66325,-98.6208744,0.186219739292365,0,0.6418670539549974,0.0449313982054487,0,1,0.0,0.0,0,Low Both,0,9.905192353062622,HOPE Help Other People Eat,8.95066365177308,WIC Clinic Babcock,HEB 566,78246,0.0717948717948717,0.5512820512820513
480291701011,29.4364697,-98.5179767,0.3359375,0,0.6793215663229585,0.0476558404267169,0,1,0.0,1.0,0,Low Both,0,0.7022091625621734,Society of St. Vincent de Paul,0.8213292891440221,WIC Clinic Buena Vista,HEB 466,28668,0.4321428571428571,1.0
480291701022,29.4325252,-98.519528,0.5425170068027211,1,0.4114258574221742,0.0281690994686312,1,1,0.0,1.0,0,High Housing Only,0,0.42276061449644436,Society of St. Vincent de Paul,0.5464885835674604,WIC Clinic Buena Vista,HEB 466,23716,0.8115942028985508,1.0
480291702003,29.4171278,-98.5180088,0.1447502548419979,0,0.8670586467681035,0.0613118406287086,0,1,0.0,1.0,0,Low Both,0,0.6475159918180204,Society of St. Vincent de Paul,0.2595025025316365,WIC Clinic San Saba,HEB 466,23049,0.5359281437125748,0.9169675090252708
480291702006,29.4250206,-98.5237705,0.1985294117647058,0,0.2364514507537388,0.0154414564950541,1,1,0.0,1.0,0,Low Both,0,0.25833224989976944,Society of St. Vincent de Paul,0.13528474281376127,WIC Clinic Buena Vista,HEB 466,32717,0.0419161676646706,0.9636363636363636
480291702001,29.4207968,-98.5245822,0.5485232067510549,1,0.5234526520508076,0.0363179314758708,0,1,0.0,1.0,0,High Housing Only,0,0.4821289560608753,Society of St. Vincent de Paul,0.3896199748378933,WIC Clinic Buena Vista,HEB 466,-666666666,0.4756097560975609,1.0
480291702002,29.4176891,-98.5248171,0.6666666666666666,1,0.7380550059196509,0.0519281123779708,0,1,0.0,1.0,0,High Housing Only,0,0.6726162433469834,Society of St. Vincent de Paul,0.6020351938829076,WIC Clinic Buena Vista,HEB 466,37500,0.1238095238095238,0.9395833333333332
480291703003,29.4145765,-98.5316563,0.4172413793103448,0,1.0409730508769428,0.0739623789880367,0,0,0.0,1.0,1,High Food Only,0,0.8674341905141658,Catholic Charities St. Stephen's CARE Center,0.8954415387243202,WIC Clinic Buena Vista,HEB 466,27381,0.4425531914893617,0.7479376718606783
480291703002,29.4232324,-98.5336012,0.1958762886597937,0,0.6417627864479614,0.0449238137842263,0,1,0.0,1.0,0,Low Both,0,0.8487935780394573,Society of St. Vincent de Paul,0.530943827575652,WIC Clinic Buena Vista,HEB 466,35048,0.26,0.9823008849557522
480291704012,29.4430454,-98.5320653,0.3122731397459165,0,0.591211951886845,0.0412467447398978,0,1,0.0,1.0,0,Low Both,0,1.360652150749383,Society of St. Vincent de Paul,1.213991276459267,WIC Clinic Buena Vista,HEB 189,56292,0.1731343283582089,0.8301486199575372
480291704014,29.4352487,-98.5283776,0.2021276595744681,0,0.5249587770469032,0.036427487047962,0,1,0.0,1.0,0,Low Both,0,0.7968097401527786,Society of St. Vincent de Paul,0.6353320235612664,WIC Clinic Buena Vista,HEB 466,44635,0.1565656565656565,0.9503464203233256
480291704021,29.438393,-98.5358992,0.3219696969696969,0,0.6514922044075083,0.0456315319041939,0,1,0.0,1.0,0,Low Both,0,1.2642182564722233,Society of St. Vincent de Paul,1.0336857146722216,WIC Clinic Buena Vista,HEB 189,30035,0.3187250996015936,0.9824707846410684
480291704023,29.4302092,-98.53126,0.2758620689655172,0,0.4157971539070774,0.0284870676906748,1,1,0.0,1.0,0,Low Both,0,0.7309313878140473,Society of St. Vincent de Paul,0.4343020604273144,WIC Clinic Buena Vista,HEB 466,48852,0.174757281553398,0.9819318971507992
480291705002,29.4518075,-98.5206873,0.1744186046511628,0,0.9402926671248673,0.0666388852083586,0,1,1.0,1.0,1,High Food Only,0,1.7540849788013533,Society of St. Vincent de Paul,1.7750302482030984,WIC Clinic Buena Vista,HEB 556,72292,0.1186440677966101,0.6594982078853047
