CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029171915,Texas,Bexar County,0,0,0,0,1,14.202508960573502,68958.0,
48029171916,Texas,Bexar County,0,0,0,1,1,4.332337393702599,85093.0,15.1432849252786
48029171917,Texas,Bexar County,0,0,0,1,1,3.57105456068698,91711.0,7.76239553147942
48029171918,Texas,Bexar County,0,0,0,1,1,5.06976744186046,80798.0,97.1905813096185
48029171919,Texas,Bexar County,0,0,0,1,1,10.0623867981485,56339.0,100.00000082386799
48029171920,Texas,Bexar County,0,0,0,1,1,12.8675198893117,61987.0,53.0363076109633
48029171921,Texas,Bexar County,0,0,0,1,1,14.138128945858,68029.0,100.000000261303
48029171922,Texas,Bexar County,0,0,0,1,1,14.439485429246501,74212.0,44.0490029553044
48029171923,Texas,Bexar County,0,0,0,1,1,9.667226226918139,80558.0,8.69830461863195
48029171924,Texas,Bexar County,0,0,0,1,1,10.0284495021337,83834.0,13.208093599067
48029171925,Texas,Bexar County,0,0,0,0,1,12.2587064676617,76172.0,
48029172002,Texas,Bexar County,0,0,0,0,0,2.9451531362059797,82525.0,67.1554973852445
48029172003,Texas,Bexar County,0,0,0,0,1,4.70199716936625,100282.0,1.8785198272201102
48029172004,Texas,Bexar County,0,0,0,0,0,6.54250238777459,92353.0,73.4778605322755
48029172005,Texas,Bexar County,0,0,0,1,1,7.40396791895314,100917.0,17.3785290987751
48029172006,Texas,Bexar County,0,0,0,0,0,8.2382610784196,105743.0,100.00000097173401
48029172007,Texas,Bexar County,0,0,0,1,1,2.8554482291137098,111029.0,45.537611785742996
48029180101,Texas,Bexar County,0,0,0,0,1,13.686992637341898,68717.0,
48029180102,Texas,Bexar County,0,0,0,0,1,11.7400419287212,83958.0,
48029180201,Texas,Bexar County,0,1,1,0,1,29.2821031344793,40476.0,
48029180202,Texas,Bexar County,0,1,1,0,1,31.3555913113435,33967.0,
48029180300,Texas,Bexar County,0,1,1,0,1,22.1453970762544,39709.0,
